                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.77302,                0.67171,                 1.0952,                0.85443,                0.69987,                0.76703,                 0.4824,                 1.3655,                 0.8752,                 1.5907,               0.003961,               0.003961,               0.003961
                     64,                0.78258,                0.67949,                 1.0998,                0.85643,                0.69678,                0.77255,                0.46285,                 1.4563,                 0.8742,                 1.6509,               0.003862,               0.003862,               0.003862
                     65,                0.76821,                0.66541,                 1.0908,                0.85526,                0.73682,                0.77929,                0.47679,                 1.4145,                0.84879,                 1.6017,               0.003763,               0.003763,               0.003763
                     66,                0.77661,                0.66263,                 1.0915,                0.82035,                0.72096,                0.76482,                0.47793,                 1.3507,                 0.8694,                 1.5512,               0.003664,               0.003664,               0.003664
                     67,                0.76181,                 0.6542,                 1.0895,                0.85762,                0.73219,                0.78957,                0.48116,                 1.4116,                0.82483,                 1.6066,               0.003565,               0.003565,               0.003565
                     68,                0.76566,                0.64166,                 1.0891,                0.85441,                0.72652,                0.78615,                0.48443,                 1.3946,                0.84067,                 1.5865,               0.003466,               0.003466,               0.003466
                     69,                0.75948,                0.64066,                  1.085,                0.88269,                0.73371,                0.79644,                0.48849,                 1.4139,                0.82281,                 1.5962,               0.003367,               0.003367,               0.003367
                     70,                0.75171,                0.64078,                 1.0833,                0.89019,                0.70639,                0.78547,                0.48019,                 1.3789,                 0.8273,                 1.5801,               0.003268,               0.003268,               0.003268
                     71,                0.74028,                0.62795,                 1.0806,                0.87544,                0.71404,                0.78424,                0.48385,                 1.3483,                0.84004,                 1.5657,               0.003169,               0.003169,               0.003169
                     72,                0.72427,                 0.6081,                 1.0668,                0.90747,                0.71191,                0.79777,                0.49054,                 1.3681,                0.82251,                 1.5724,                0.00307,                0.00307,                0.00307
                     73,                0.72861,                0.61485,                 1.0647,                0.88573,                0.72914,                0.79765,                0.50908,                 1.2979,                0.79313,                 1.5203,               0.002971,               0.002971,               0.002971
                     74,                0.73043,                0.60484,                 1.0672,                 0.8969,                0.73437,                0.79857,                0.50809,                 1.3144,                0.76517,                 1.5428,               0.002872,               0.002872,               0.002872
                     75,                 0.7118,                0.59428,                 1.0579,                0.88216,                0.74512,                0.80628,                0.50387,                 1.3208,                0.76607,                 1.5496,               0.002773,               0.002773,               0.002773
                     76,                0.72379,                0.59807,                 1.0631,                0.90735,                0.74172,                 0.8131,                0.51229,                 1.2939,                0.73192,                 1.5246,               0.002674,               0.002674,               0.002674
                     77,                0.70519,                0.58458,                 1.0536,                0.90266,                0.73913,                 0.8105,                0.51092,                 1.3274,                0.75749,                 1.5494,               0.002575,               0.002575,               0.002575
                     78,                0.69476,                0.57747,                 1.0479,                0.92884,                0.73584,                0.81957,                0.51548,                 1.3176,                0.72846,                 1.5356,               0.002476,               0.002476,               0.002476
                     79,                0.68455,                0.56229,                 1.0435,                0.88362,                0.76328,                0.82667,                0.52273,                 1.3084,                0.73025,                 1.5418,               0.002377,               0.002377,               0.002377
                     80,                0.69994,                 0.5689,                 1.0492,                0.92492,                0.72893,                0.81989,                 0.5316,                 1.2378,                0.72986,                 1.4706,               0.002278,               0.002278,               0.002278
                     81,                0.67785,                0.56219,                 1.0411,                0.92036,                0.74071,                0.81533,                0.51949,                  1.304,                0.75039,                 1.5119,               0.002179,               0.002179,               0.002179
                     82,                  0.678,                0.55726,                 1.0389,                0.89787,                0.75536,                0.82479,                0.51438,                 1.3396,                0.72249,                 1.5619,                0.00208,                0.00208,                0.00208
                     83,                0.67261,                0.54928,                 1.0388,                0.88561,                0.75882,                0.82159,                0.53485,                  1.267,                0.71698,                 1.5148,               0.001981,               0.001981,               0.001981
                     84,                0.65833,                0.53969,                 1.0264,                0.90136,                0.74721,                0.81752,                0.52012,                 1.3135,                0.74316,                 1.5406,               0.001882,               0.001882,               0.001882
                     85,                0.66813,                0.54049,                  1.029,                0.92421,                0.74186,                0.81597,                0.53056,                 1.2505,                0.72587,                 1.4989,               0.001783,               0.001783,               0.001783
                     86,                0.66477,                0.54701,                 1.0347,                0.91679,                 0.7472,                 0.8175,                0.53203,                 1.2565,                0.72578,                 1.5034,               0.001684,               0.001684,               0.001684
                     87,                0.65231,                0.52884,                 1.0254,                0.90822,                0.75711,                0.82311,                0.53365,                 1.2646,                0.71307,                 1.4906,               0.001585,               0.001585,               0.001585
                     88,                0.65491,                0.53509,                  1.027,                0.90495,                0.75766,                 0.8248,                0.54486,                 1.2101,                0.70037,                 1.4543,               0.001486,               0.001486,               0.001486
                     89,                0.63956,                0.51977,                 1.0162,                0.93389,                0.74556,                0.82144,                0.53366,                 1.2554,                0.70211,                 1.4889,               0.001387,               0.001387,               0.001387
                     90,                0.64555,                0.51798,                 1.0182,                0.92603,                0.75569,                0.82826,                0.53534,                 1.2817,                0.69442,                 1.5185,               0.001288,               0.001288,               0.001288
                     91,                0.65162,                0.46884,                 1.0267,                0.89835,                 0.7542,                0.82976,                0.52672,                 1.3045,                0.72097,                 1.5344,               0.001189,               0.001189,               0.001189
                     92,                0.62286,                0.43585,                  1.005,                0.89288,                0.74689,                0.82172,                0.54038,                 1.2307,                0.70247,                 1.4962,                0.00109,                0.00109,                0.00109
                     93,                0.61591,                0.43527,                 1.0032,                0.90699,                0.76129,                0.83253,                0.54547,                 1.2398,                0.69539,                 1.4852,               0.000991,               0.000991,               0.000991
                     94,                0.61086,                0.42643,                 1.0016,                0.91523,                0.74831,                0.82776,                 0.5451,                 1.2137,                0.70369,                 1.4726,               0.000892,               0.000892,               0.000892
                     95,                0.60256,                0.42258,                0.99255,                0.91293,                0.75391,                0.83075,                0.55086,                 1.2079,                0.69437,                 1.4685,               0.000793,               0.000793,               0.000793
                     96,                0.59983,                0.41958,                0.99285,                0.94017,                0.74706,                0.83173,                0.55152,                 1.2113,                0.70159,                 1.4695,               0.000694,               0.000694,               0.000694
                     97,                0.59046,                0.41331,                0.98666,                0.93072,                0.74599,                0.83449,                0.55316,                 1.1971,                0.69051,                 1.4613,               0.000595,               0.000595,               0.000595
                     98,                0.58334,                0.41023,                 0.9879,                0.91153,                0.76432,                0.83568,                0.55975,                 1.1781,                0.68059,                 1.4431,               0.000496,               0.000496,               0.000496
                     99,                0.57395,                0.40074,                0.97933,                0.93146,                0.74949,                0.83376,                0.55662,                 1.1869,                0.68169,                  1.455,               0.000397,               0.000397,               0.000397
                    100,                0.56888,                0.39767,                0.97206,                   0.92,                 0.7574,                0.83787,                0.55881,                 1.1924,                0.67559,                 1.4616,               0.000298,               0.000298,               0.000298
